#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
3.0%,152500,610.0000000014564,-3487211.8853790313,568197.2406326046,310.587536033404,0,--
3.1%,155000,620.0000000015042,-3489633.7617863268,568675.8740377333,310.8491662549741,113,4:07:57
3.1%,157500,630.0000000015519,-3486029.0673175566,567530.8644298216,310.2232819890457,113,4:07:53
3.2%,160000,640.0000000015997,-3485123.3553157467,568691.6683022568,310.85779970362717,113,4:07:37
3.2%,162500,650.0000000016474,-3488406.00392206,569295.9783435052,311.1881271907909,113,4:07:37
3.3%,165000,660.0000000016952,-3488087.9129507467,568332.8752447617,310.66167652015434,113,4:07:29
3.4%,167500,670.0000000017429,-3489208.4822333585,569270.1418545479,311.17400446918805,113,4:07:21
3.4%,170000,680.0000000017907,-3488673.4809075706,568709.9191936543,310.8677759917612,113,4:07:12
3.5%,172500,690.0000000018384,-3484253.820080582,568346.7975003398,310.66928669272613,113,4:07:02
3.5%,175000,700.0000000018862,-3484526.1568598226,569931.2683087864,311.53538890005893,113,4:06:58
3.5%,177500,710.0000000019339,-3487211.626186205,569850.0446490936,311.49099048604427,113,4:06:51
3.6%,180000,720.0000000019817,-3488513.1948345546,570765.5062151459,311.9913993789437,113,4:06:42
3.6%,182500,730.0000000020294,-3487286.826066971,569521.865051653,311.31160120841946,113,4:06:33
3.7%,185000,740.0000000020772,-3487030.068957543,568509.965131864,310.75847725721934,113,4:06:30
3.8%,187500,750.0000000021249,-3487003.586206548,569430.6891281374,311.26176269565445,113,4:06:21
3.8%,190000,760.0000000021727,-3487807.60486963,566696.0990799373,309.76698319938953,113,4:06:14
3.9%,192500,770.0000000022204,-3488320.053012356,570639.5957733209,311.92257431065616,113,4:06:06
3.9%,195000,780.0000000022682,-3487645.785739396,570792.3794093548,312.00608878356906,113,4:05:59
4.0%,197500,790.0000000023159,-3489887.74233301,567612.8602404373,310.26810247560036,113,4:05:50
4.0%,200000,800.0000000023637,-3486617.4059922565,568083.7402866805,310.5254945621356,112,4:05:47
4.0%,202500,810.0000000024114,-3483469.1958457567,570157.8537266571,311.6592448458555,113,4:05:37
4.1%,205000,820.0000000024592,-3487498.111682901,569147.8394273102,311.1071516110425,112,4:05:31
4.2%,207500,830.0000000025069,-3486578.3205128927,567189.2665980264,310.0365580465402,112,4:05:25
4.2%,210000,840.0000000025547,-3488017.033660751,569584.1161605916,311.34562886142083,112,4:05:18
4.2%,212500,850.0000000026024,-3485980.3136832267,570339.9026749412,311.75875630110664,112,4:05:12
4.3%,215000,860.0000000026502,-3486207.068650041,568573.7644767365,310.79335120574905,112,4:05:06
4.3%,217500,870.0000000026979,-3487869.707343554,569340.7000270156,311.2125729228281,112,4:04:57
4.4%,220000,880.0000000027457,-3486309.9327904545,570045.9057184053,311.5980519122044,112,4:04:47
4.5%,222500,890.0000000027934,-3484788.2998354565,568044.7482792324,310.5041807811943,112,4:04:40
4.5%,225000,900.0000000028411,-3485710.444716476,570370.6836105448,311.7755817523096,112,4:04:31
4.5%,227500,910.0000000028889,-3486580.4460261464,568162.0344852256,310.56829167636437,112,4:04:22
4.6%,230000,920.0000000029366,-3486875.328008389,569706.9924760679,311.4127954179112,112,4:04:15
4.7%,232500,930.0000000029844,-3487445.723236939,568424.3396585349,310.7116727272407,112,4:04:07
4.7%,235000,940.0000000030321,-3485884.429015428,571486.8606837322,312.38570560041614,112,4:03:59
4.8%,237500,950.0000000030799,-3487700.2993072085,567208.9303092682,310.0473066091645,112,4:03:51
4.8%,240000,960.0000000031276,-3483822.4523417335,567639.7361040593,310.2827933393783,112,4:03:42
4.8%,242500,970.0000000031754,-3487755.8618014734,570759.6777918381,311.9882134507049,113,4:03:34
4.9%,245000,980.0000000032231,-3491630.2924162447,571043.3952945048,312.1432988924869,112,4:03:27
5.0%,247500,990.0000000032709,-3485995.1045875717,571500.7981236824,312.3933240730576,113,4:03:19
5.0%,250000,1000.0000000033186,-3486191.728650024,570760.5503661423,311.9886904165959,113,4:03:10
5.0%,252500,1010.0000000033664,-3485190.517033927,568853.5023286492,310.9462612939151,112,4:03:08
5.1%,255000,1020.0000000034141,-3488682.2807482667,568350.100513196,310.6710921830579,112,4:03:00
5.2%,257500,1030.0000000032912,-3486954.3283361997,571191.113072712,312.2240442701142,112,4:02:52
5.2%,260000,1040.0000000030548,-3488370.9304449596,569090.0481875286,311.07556180826896,112,4:02:45
5.2%,262500,1050.0000000028183,-3488183.1531792246,570106.0082221673,311.6309050963066,112,4:02:37
5.3%,265000,1060.0000000025818,-3488982.541718222,570249.9173767269,311.7095686070227,112,4:02:28
5.3%,267500,1070.0000000023454,-3486017.5975588337,568558.5563851167,310.785038170475,112,4:02:20
5.4%,270000,1080.000000002109,-3489366.764484035,567322.701926301,310.10949636243646,112,4:02:13
5.5%,272500,1090.0000000018724,-3488643.9862957634,568965.229818518,311.0073336879783,112,4:02:05
5.5%,275000,1100.000000001636,-3489781.6295436677,568752.654538457,310.8911359528709,112,4:01:58
5.5%,277500,1110.0000000013995,-3487673.4632251393,568035.0958179985,310.4989045603032,112,4:01:52
5.6%,280000,1120.000000001163,-3488709.146705134,568613.6720987725,310.81516547922786,112,4:01:45
5.7%,282500,1130.0000000009265,-3486868.2031525094,567877.6121379369,310.4128209529605,112,4:01:37
5.7%,285000,1140.00000000069,-3489873.048417473,569948.784730709,311.54496371305703,112,4:01:29
5.8%,287500,1150.0000000004536,-3488470.2921175305,567043.0868636653,309.95665339324995,112,4:01:21
5.8%,290000,1160.0000000002171,-3486387.181832934,571231.4568399946,312.2460969489704,112,4:01:14
5.8%,292500,1169.9999999999807,-3488967.009765759,567394.5299299308,310.1487589302038,112,4:01:06
5.9%,295000,1179.9999999997442,-3487890.4650671743,568548.3009118007,310.7794323315862,112,4:00:59
6.0%,297500,1189.9999999995077,-3485776.8686578292,568923.2576626814,310.98439090063073,112,4:00:52
6.0%,300000,1199.9999999992713,-3486408.588612601,569782.604294986,311.45412629186376,112,4:00:45
6.0%,302500,1209.9999999990348,-3489220.46035452,569429.5263864669,311.2611271187022,112,4:00:37
6.1%,305000,1219.9999999987983,-3487691.9767395128,570478.3051069262,311.83440973138977,112,4:00:30
6.2%,307500,1229.9999999985619,-3487126.93614129,568994.711564474,311.02344897714136,112,4:00:22
6.2%,310000,1239.9999999983254,-3487298.5422938094,566660.2251388127,309.74737381344937,112,4:00:15
6.2%,312500,1249.999999998089,-3488133.4515499417,569930.068549105,311.53473308835015,112,4:00:08
6.3%,315000,1259.9999999978525,-3485717.5032186527,567585.8587607958,310.25334294769107,112,4:00:00
6.3%,317500,1269.999999997616,-3485452.7793728244,567614.7496850982,310.26913528237895,112,3:59:51
6.4%,320000,1279.9999999973795,-3489043.050879281,567907.5971745604,310.4292113504788,112,3:59:44
6.5%,322500,1289.999999997143,-3490879.092336675,568772.954908706,310.9022325255491,112,3:59:36
6.5%,325000,1299.9999999969066,-3486873.38800098,568013.9815570716,310.4873630993324,112,3:59:28
6.5%,327500,1309.99999999667,-3489852.498150911,570402.5128284654,311.7929802147816,112,3:59:20
6.6%,330000,1319.9999999964336,-3488898.907553844,569252.7038929795,311.1644725441281,112,3:59:13
6.7%,332500,1329.9999999961972,-3487182.709983861,568582.9447821513,310.79836933719156,112,3:59:05
6.7%,335000,1339.9999999959607,-3486166.025179345,570584.0873921772,311.8922323623049,112,3:58:58
6.8%,337500,1349.9999999957242,-3487330.147849215,567875.1494908535,310.41147482271725,112,3:58:50
